Generation,Best CP,Best CO,Best CO_Score,Mean CO_Score,Routes
1,12.572896596017983,140.0,140.0,209.88888888888889,"[[5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12, 4], [8, 15], [14, 10, 11], [6, 3, 2, 1], [4, 12, 11, 10, 14, 13], [10, 7, 15, 9]]"
2,12.402697495183045,127.0,127.0,204.5,"[[12, 11, 10, 7, 15, 8, 6, 4, 2, 3], [7, 10, 13, 14], [2, 4, 5], [10, 7, 15, 9], [11, 10, 8, 15, 9], [9, 15, 6, 3, 2, 1]]"
3,24.330122029543993,114.0,114.0,200.68627450980392,"[[2, 4, 6, 3], [7, 15, 6, 4, 5, 2, 3], [15, 9], [6, 4, 2, 5], [8, 10, 14, 13, 11, 12, 4, 2, 1], [15, 9]]"
4,24.330122029543993,114.0,114.0,179.83333333333334,"[[2, 4, 6, 3], [7, 15, 6, 4, 5, 2, 3], [15, 9], [6, 4, 2, 5], [8, 10, 14, 13, 11, 12, 4, 2, 1], [15, 9]]"
5,24.330122029543993,114.0,114.0,190.20408163265307,"[[2, 4, 6, 3], [7, 15, 6, 4, 5, 2, 3], [15, 9], [6, 4, 2, 5], [8, 10, 14, 13, 11, 12, 4, 2, 1], [15, 9]]"
6,24.330122029543993,114.0,114.0,176.58695652173913,"[[2, 4, 6, 3], [7, 15, 6, 4, 5, 2, 3], [15, 9], [6, 4, 2, 5], [8, 10, 14, 13, 11, 12, 4, 2, 1], [15, 9]]"
7,14.001926782273603,112.0,112.0,172.0212765957447,"[[5, 2, 4, 6, 3], [7, 15, 9], [15, 9], [10, 7, 15, 9], [12, 11, 13, 14, 10, 7, 15, 8, 6, 3, 2, 4], [5, 4, 2, 1]]"
8,14.001926782273603,112.0,112.0,192.0625,"[[5, 2, 4, 6, 3], [7, 15, 9], [15, 9], [10, 7, 15, 9], [12, 11, 13, 14, 10, 7, 15, 8, 6, 3, 2, 4], [5, 4, 2, 1]]"
9,14.001926782273603,112.0,112.0,166.5531914893617,"[[5, 2, 4, 6, 3], [7, 15, 9], [15, 9], [10, 7, 15, 9], [12, 11, 13, 14, 10, 7, 15, 8, 6, 3, 2, 4], [5, 4, 2, 1]]"
10,14.001926782273603,112.0,112.0,169.12,"[[5, 2, 4, 6, 3], [7, 15, 9], [15, 9], [10, 7, 15, 9], [12, 11, 13, 14, 10, 7, 15, 8, 6, 3, 2, 4], [5, 4, 2, 1]]"
11,14.001926782273603,112.0,112.0,174.93478260869566,"[[5, 2, 4, 6, 3], [7, 15, 9], [15, 9], [10, 7, 15, 9], [12, 11, 13, 14, 10, 7, 15, 8, 6, 3, 2, 4], [5, 4, 2, 1]]"
12,16.870263326910727,98.0,98.0,178.06,"[[2, 1], [7, 10, 13, 14, 10, 11], [12, 4, 5], [6, 15, 8, 10], [2, 1], [5, 2, 3, 6, 8, 15, 9]]"
13,16.870263326910727,98.0,98.0,167.17021276595744,"[[2, 1], [7, 10, 13, 14, 10, 11], [12, 4, 5], [6, 15, 8, 10], [2, 1], [5, 2, 3, 6, 8, 15, 9]]"
14,16.870263326910727,98.0,98.0,168.6590909090909,"[[2, 1], [7, 10, 13, 14, 10, 11], [12, 4, 5], [6, 15, 8, 10], [2, 1], [5, 2, 3, 6, 8, 15, 9]]"
15,16.870263326910727,98.0,98.0,162.64705882352942,"[[2, 1], [7, 10, 13, 14, 10, 11], [12, 4, 5], [6, 15, 8, 10], [2, 1], [5, 2, 3, 6, 8, 15, 9]]"
16,16.870263326910727,98.0,98.0,160.1304347826087,"[[2, 1], [7, 10, 13, 14, 10, 11], [12, 4, 5], [6, 15, 8, 10], [2, 1], [5, 2, 3, 6, 8, 15, 9]]"
17,16.870263326910727,98.0,98.0,159.97916666666666,"[[2, 1], [7, 10, 13, 14, 10, 11], [12, 4, 5], [6, 15, 8, 10], [2, 1], [5, 2, 3, 6, 8, 15, 9]]"
18,16.870263326910727,98.0,98.0,177.64,"[[2, 1], [7, 10, 13, 14, 10, 11], [12, 4, 5], [6, 15, 8, 10], [2, 1], [5, 2, 3, 6, 8, 15, 9]]"
19,16.870263326910727,98.0,98.0,159.63829787234042,"[[2, 1], [7, 10, 13, 14, 10, 11], [12, 4, 5], [6, 15, 8, 10], [2, 1], [5, 2, 3, 6, 8, 15, 9]]"
20,16.870263326910727,98.0,98.0,152.2391304347826,"[[2, 1], [7, 10, 13, 14, 10, 11], [12, 4, 5], [6, 15, 8, 10], [2, 1], [5, 2, 3, 6, 8, 15, 9]]"
21,16.870263326910727,98.0,98.0,161.375,"[[2, 1], [7, 10, 13, 14, 10, 11], [12, 4, 5], [6, 15, 8, 10], [2, 1], [5, 2, 3, 6, 8, 15, 9]]"
22,16.870263326910727,98.0,98.0,164.20408163265307,"[[2, 1], [7, 10, 13, 14, 10, 11], [12, 4, 5], [6, 15, 8, 10], [2, 1], [5, 2, 3, 6, 8, 15, 9]]"
23,16.870263326910727,98.0,98.0,178.9375,"[[2, 1], [7, 10, 13, 14, 10, 11], [12, 4, 5], [6, 15, 8, 10], [2, 1], [5, 2, 3, 6, 8, 15, 9]]"
24,13.32883750802826,97.0,97.0,163.92156862745097,"[[12, 11, 10, 7, 15, 8, 6, 4, 2, 3], [10, 13, 14], [2, 4, 5, 2], [10, 7, 15, 9], [4, 2, 1], [5, 4, 2]]"
25,13.32883750802826,97.0,97.0,153.68,"[[12, 11, 10, 7, 15, 8, 6, 4, 2, 3], [10, 13, 14], [2, 4, 5, 2], [10, 7, 15, 9], [4, 2, 1], [5, 4, 2]]"
26,13.32883750802826,97.0,97.0,150.26,"[[12, 11, 10, 7, 15, 8, 6, 4, 2, 3], [10, 13, 14], [2, 4, 5, 2], [10, 7, 15, 9], [4, 2, 1], [5, 4, 2]]"
27,13.378291586384073,95.0,95.0,156.62745098039215,"[[12, 11, 10, 7, 15, 8, 6, 4, 2, 3], [7, 10, 13, 14], [2, 4, 5], [10, 7, 15, 9], [2, 1], [5, 4, 2]]"
28,12.788053949903661,92.0,92.0,147.33333333333334,"[[12, 11, 10, 7, 15, 8, 6, 4, 2], [10, 13, 14], [5, 2, 4, 5], [15, 9], [2, 1], [15, 6, 3, 2, 1]]"
