Generation,Best CP,Best CO,Best CP_Score,Mean CP_Score,Routes
1,10.736673089274245,205.0,10.736673089274245,12.963365950105151,"[[2, 4, 6, 3], [4, 2, 3, 6, 15, 9], [10, 7, 15, 6, 3, 2, 1], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 8, 15], [6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [11, 13, 10, 8, 6, 4, 12]]"
2,10.694926140012845,205.0,10.694926140012845,12.082221970355258,"[[11, 10, 7, 15, 6, 3, 2, 1], [7, 10, 11, 12, 4, 2], [15, 6, 4, 2, 5], [3, 2, 5, 4, 6, 15, 8, 10, 14, 13, 11, 12], [5, 4, 12, 11, 13, 14, 10, 8, 6, 3, 2, 1], [15, 9]]"
3,10.449582530507387,258.0,10.449582530507387,12.849416613144937,"[[11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [12, 11, 13, 10, 8, 15, 6, 4, 2, 1], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 8], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [11, 13, 10, 8, 6, 4]]"
4,10.449582530507387,258.0,10.449582530507387,11.979139370584459,"[[11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [12, 11, 13, 10, 8, 15, 6, 4, 2, 1], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 8], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [11, 13, 10, 8, 6, 4]]"
5,10.44572896596018,262.0,10.44572896596018,11.850890645275452,"[[14, 13, 10, 7, 15, 8, 6, 3, 2, 5, 4, 12], [13, 14, 10, 11, 12, 4, 6, 15, 7], [10, 7, 15, 6, 3, 2, 1], [14, 10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [11, 13, 10, 8, 6, 4]]"
6,10.44572896596018,262.0,10.44572896596018,12.141107607870612,"[[14, 13, 10, 7, 15, 8, 6, 3, 2, 5, 4, 12], [13, 14, 10, 11, 12, 4, 6, 15, 7], [10, 7, 15, 6, 3, 2, 1], [14, 10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [11, 13, 10, 8, 6, 4]]"
7,10.44572896596018,262.0,10.44572896596018,12.740727360308284,"[[14, 13, 10, 7, 15, 8, 6, 3, 2, 5, 4, 12], [13, 14, 10, 11, 12, 4, 6, 15, 7], [10, 7, 15, 6, 3, 2, 1], [14, 10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [11, 13, 10, 8, 6, 4]]"
8,10.44572896596018,262.0,10.44572896596018,12.496100559684374,"[[14, 13, 10, 7, 15, 8, 6, 3, 2, 5, 4, 12], [13, 14, 10, 11, 12, 4, 6, 15, 7], [10, 7, 15, 6, 3, 2, 1], [14, 10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [11, 13, 10, 8, 6, 4]]"
9,10.44572896596018,262.0,10.44572896596018,11.430134874759155,"[[14, 13, 10, 7, 15, 8, 6, 3, 2, 5, 4, 12], [13, 14, 10, 11, 12, 4, 6, 15, 7], [10, 7, 15, 6, 3, 2, 1], [14, 10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [11, 13, 10, 8, 6, 4]]"
10,10.44572896596018,262.0,10.44572896596018,12.396048207336888,"[[14, 13, 10, 7, 15, 8, 6, 3, 2, 5, 4, 12], [13, 14, 10, 11, 12, 4, 6, 15, 7], [10, 7, 15, 6, 3, 2, 1], [14, 10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [11, 13, 10, 8, 6, 4]]"
