Generation,Best CP,Best CO,Best CO_Score,Mean CO_Score,Routes
1,12.436095054592164,121.0,121.0,229.4,"[[10, 7, 15, 9], [10, 7, 15, 6, 8], [12, 4, 5, 2, 3, 6, 8, 10, 11, 13, 14], [7, 15, 9], [3, 6, 4, 2, 1], [11, 10, 14, 13]]"
2,12.534360950545922,114.0,114.0,209.65384615384616,"[[10, 7, 15, 9], [11, 10, 7, 15, 6, 8], [12, 4, 5, 2, 3, 6, 8, 10, 11, 13, 14], [15, 9], [6, 4, 2, 1], [15, 9]]"
3,12.534360950545922,114.0,114.0,209.73469387755102,"[[10, 7, 15, 9], [11, 10, 7, 15, 6, 8], [12, 4, 5, 2, 3, 6, 8, 10, 11, 13, 14], [15, 9], [6, 4, 2, 1], [15, 9]]"
4,12.534360950545922,114.0,114.0,210.6153846153846,"[[10, 7, 15, 9], [11, 10, 7, 15, 6, 8], [12, 4, 5, 2, 3, 6, 8, 10, 11, 13, 14], [15, 9], [6, 4, 2, 1], [15, 9]]"
5,15.180475272960821,106.0,106.0,199.1,"[[4, 2, 5], [7, 15, 9], [10, 7, 15, 6, 4, 2, 3], [3, 6, 8, 15, 9], [12, 4, 5, 2, 1], [11, 13, 10, 14]]"
6,15.180475272960821,106.0,106.0,187.3,"[[4, 2, 5], [7, 15, 9], [10, 7, 15, 6, 4, 2, 3], [3, 6, 8, 15, 9], [12, 4, 5, 2, 1], [11, 13, 10, 14]]"
7,17.50931278098908,102.0,102.0,203.8846153846154,"[[4, 2, 5], [15, 7, 10, 8, 6, 3, 2], [10, 13, 14], [11, 12, 4, 2, 1], [6, 8, 15, 9], [5, 2, 1]]"
8,17.50931278098908,102.0,102.0,193.07843137254903,"[[4, 2, 5], [15, 7, 10, 8, 6, 3, 2], [10, 13, 14], [11, 12, 4, 2, 1], [6, 8, 15, 9], [5, 2, 1]]"
9,17.50931278098908,102.0,102.0,179.30769230769232,"[[4, 2, 5], [15, 7, 10, 8, 6, 3, 2], [10, 13, 14], [11, 12, 4, 2, 1], [6, 8, 15, 9], [5, 2, 1]]"
10,17.50931278098908,102.0,102.0,172.01923076923077,"[[4, 2, 5], [15, 7, 10, 8, 6, 3, 2], [10, 13, 14], [11, 12, 4, 2, 1], [6, 8, 15, 9], [5, 2, 1]]"
11,17.50931278098908,102.0,102.0,167.88,"[[4, 2, 5], [15, 7, 10, 8, 6, 3, 2], [10, 13, 14], [11, 12, 4, 2, 1], [6, 8, 15, 9], [5, 2, 1]]"
12,17.50931278098908,102.0,102.0,187.22222222222223,"[[4, 2, 5], [15, 7, 10, 8, 6, 3, 2], [10, 13, 14], [11, 12, 4, 2, 1], [6, 8, 15, 9], [5, 2, 1]]"
13,15.411046885035324,82.0,82.0,182.08163265306123,"[[10, 7, 15], [3, 6, 4], [12, 11, 10, 13, 14], [15, 9], [6, 3, 2], [15, 8, 6, 4, 5, 2, 1]]"
14,15.411046885035324,82.0,82.0,175.56,"[[10, 7, 15], [3, 6, 4], [12, 11, 10, 13, 14], [15, 9], [6, 3, 2], [15, 8, 6, 4, 5, 2, 1]]"
15,15.965317919075144,81.0,81.0,148.22727272727272,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
16,15.965317919075144,81.0,81.0,164.3265306122449,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
17,15.965317919075144,81.0,81.0,178.82692307692307,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
18,15.965317919075144,81.0,81.0,176.08,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
19,15.965317919075144,81.0,81.0,175.4,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
20,15.965317919075144,81.0,81.0,177.5,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
21,15.965317919075144,81.0,81.0,151.89795918367346,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
22,15.965317919075144,81.0,81.0,157.16,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
23,15.965317919075144,81.0,81.0,176.05882352941177,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
24,15.965317919075144,81.0,81.0,153.11764705882354,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
25,15.965317919075144,81.0,81.0,159.88,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
26,15.965317919075144,81.0,81.0,163.0612244897959,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
27,15.965317919075144,81.0,81.0,147.11764705882354,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
28,15.965317919075144,81.0,81.0,164.47058823529412,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
29,15.965317919075144,81.0,81.0,153.64705882352942,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
30,15.965317919075144,81.0,81.0,156.12765957446808,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
31,15.965317919075144,81.0,81.0,156.62,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
32,15.965317919075144,81.0,81.0,152.86,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
33,15.965317919075144,81.0,81.0,135.3125,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
34,15.965317919075144,81.0,81.0,141.77083333333334,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
35,15.965317919075144,81.0,81.0,138.73469387755102,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
36,15.965317919075144,81.0,81.0,161.56,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
37,15.965317919075144,81.0,81.0,168.46938775510205,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
38,15.965317919075144,81.0,81.0,159.18367346938774,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
39,15.965317919075144,81.0,81.0,154.2,"[[2, 5], [3, 6, 4], [7, 15, 6, 4, 2], [12, 4, 2, 1], [6, 3, 2], [9, 15, 8, 10, 11, 13, 14]]"
40,15.797687861271676,80.0,80.0,149.17021276595744,"[[10, 7, 15], [3, 6, 4], [12, 11, 10, 13, 14], [15, 9], [4, 2, 1], [15, 8, 6, 4, 5, 2]]"
41,15.797687861271676,80.0,80.0,143.24444444444444,"[[10, 7, 15], [3, 6, 4], [12, 11, 10, 13, 14], [15, 9], [4, 2, 1], [15, 8, 6, 4, 5, 2]]"
42,15.797687861271676,80.0,80.0,155.84,"[[10, 7, 15], [3, 6, 4], [12, 11, 10, 13, 14], [15, 9], [4, 2, 1], [15, 8, 6, 4, 5, 2]]"
43,15.797687861271676,80.0,80.0,152.46511627906978,"[[10, 7, 15], [3, 6, 4], [12, 11, 10, 13, 14], [15, 9], [4, 2, 1], [15, 8, 6, 4, 5, 2]]"
44,17.940912010276172,77.0,77.0,137.66666666666666,"[[10, 7, 15], [3, 6, 4, 12], [11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
45,15.983943481053307,76.0,76.0,150.40425531914894,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [4, 2, 1], [15, 8, 6, 4, 5, 2]]"
46,15.983943481053307,76.0,76.0,139.20454545454547,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [4, 2, 1], [15, 8, 6, 4, 5, 2]]"
47,15.983943481053307,76.0,76.0,143.69387755102042,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [4, 2, 1], [15, 8, 6, 4, 5, 2]]"
