Generation,Best CP,Best CO,Best CP_Score,Mean CP_Score,Routes
1,10.828516377649326,192.0,10.828516377649326,14.690771106130317,"[[11, 13, 10, 8, 6, 4, 2, 1], [5, 4, 2, 1], [9, 15, 8, 10, 13, 14], [11, 12, 4, 6, 15, 7, 10, 14], [1, 2, 3, 6, 8, 10, 11, 13], [2, 4, 6, 8, 15, 7, 10, 13]]"
2,10.828516377649326,192.0,10.828516377649326,13.638178833939914,"[[11, 13, 10, 8, 6, 4, 2, 1], [5, 4, 2, 1], [9, 15, 8, 10, 13, 14], [11, 12, 4, 6, 15, 7, 10, 14], [1, 2, 3, 6, 8, 10, 11, 13], [2, 4, 6, 8, 15, 7, 10, 13]]"
3,10.828516377649326,192.0,10.828516377649326,13.319486191393707,"[[11, 13, 10, 8, 6, 4, 2, 1], [5, 4, 2, 1], [9, 15, 8, 10, 13, 14], [11, 12, 4, 6, 15, 7, 10, 14], [1, 2, 3, 6, 8, 10, 11, 13], [2, 4, 6, 8, 15, 7, 10, 13]]"
4,10.748876043673732,185.0,10.748876043673732,12.45080996217798,"[[4, 12, 11, 10, 8, 6, 15, 9], [2, 4, 6, 8, 10, 14, 13, 11], [8, 10, 7, 15, 9], [9, 15, 8, 6, 4, 5, 2, 1], [1, 2, 3, 6, 15, 7, 10, 8], [1, 2, 4, 5]]"
5,10.473988439306359,213.0,10.473988439306359,12.000458757684191,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
6,10.473988439306359,213.0,10.473988439306359,11.961361592806679,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
7,10.473988439306359,213.0,10.473988439306359,11.708990339873907,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
8,10.473988439306359,213.0,10.473988439306359,11.53653837116406,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
9,10.473988439306359,213.0,10.473988439306359,11.68097480910583,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
10,10.473988439306359,213.0,10.473988439306359,11.274624861330066,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
11,10.473988439306359,213.0,10.473988439306359,10.747484478698356,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
12,10.473988439306359,213.0,10.473988439306359,11.445102761721259,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
13,10.473988439306359,213.0,10.473988439306359,10.959201149952596,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
14,10.473988439306359,213.0,10.473988439306359,11.147390609818357,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
15,10.473988439306359,213.0,10.473988439306359,11.225834938985228,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
16,10.473988439306359,213.0,10.473988439306359,10.92164418754014,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
17,10.473988439306359,213.0,10.473988439306359,10.845906822785436,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
