Generation,Best CP,Best CO,Best Score,Mean Score,Routes
1,12.466281310211945,131.0,258759.0,350599.8823529412,"[[11, 10, 13, 14], [5, 4, 6, 15, 9], [6, 15, 8, 10, 7], [2, 1], [7, 15, 9], [11, 12, 4, 5, 2, 3, 6, 8, 10, 13, 14]]"
2,12.466281310211945,131.0,258759.0,335092.1808510638,"[[11, 10, 13, 14], [5, 4, 6, 15, 9], [6, 15, 8, 10, 7], [2, 1], [7, 15, 9], [11, 12, 4, 5, 2, 3, 6, 8, 10, 13, 14]]"
3,12.466281310211945,131.0,258759.0,326393.4,"[[11, 10, 13, 14], [5, 4, 6, 15, 9], [6, 15, 8, 10, 7], [2, 1], [7, 15, 9], [11, 12, 4, 5, 2, 3, 6, 8, 10, 13, 14]]"
4,11.993577392421322,137.0,258423.0,329849.82,"[[2, 3, 6, 4, 5], [1, 2, 3, 6, 15, 9], [6, 3, 2, 4, 5], [7, 15, 6, 8, 10, 11, 12, 4, 2, 5], [6, 15, 8, 10, 11, 13, 14], [5, 2, 1]]"
5,11.993577392421322,137.0,258423.0,345183.51923076925,"[[2, 3, 6, 4, 5], [1, 2, 3, 6, 15, 9], [6, 3, 2, 4, 5], [7, 15, 6, 8, 10, 11, 12, 4, 2, 5], [6, 15, 8, 10, 11, 13, 14], [5, 2, 1]]"
6,11.993577392421322,137.0,258423.0,314645.6176470588,"[[2, 3, 6, 4, 5], [1, 2, 3, 6, 15, 9], [6, 3, 2, 4, 5], [7, 15, 6, 8, 10, 11, 12, 4, 2, 5], [6, 15, 8, 10, 11, 13, 14], [5, 2, 1]]"
7,11.993577392421322,137.0,258423.0,315813.75,"[[2, 3, 6, 4, 5], [1, 2, 3, 6, 15, 9], [6, 3, 2, 4, 5], [7, 15, 6, 8, 10, 11, 12, 4, 2, 5], [6, 15, 8, 10, 11, 13, 14], [5, 2, 1]]"
8,11.769428387925498,126.0,246301.5,314094.0625,"[[10, 13, 14], [12, 4, 2, 5], [5, 2, 1], [12, 11, 10, 7, 15, 6, 3, 2, 1], [12, 4, 6, 8, 15, 9], [10, 8, 6, 15, 7]]"
9,11.769428387925498,126.0,246301.5,330640.65,"[[10, 13, 14], [12, 4, 2, 5], [5, 2, 1], [12, 11, 10, 7, 15, 6, 3, 2, 1], [12, 4, 6, 8, 15, 9], [10, 8, 6, 15, 7]]"
10,11.769428387925498,126.0,246301.5,306103.9117647059,"[[10, 13, 14], [12, 4, 2, 5], [5, 2, 1], [12, 11, 10, 7, 15, 6, 3, 2, 1], [12, 4, 6, 8, 15, 9], [10, 8, 6, 15, 7]]"
11,11.769428387925498,126.0,246301.5,316735.5,"[[10, 13, 14], [12, 4, 2, 5], [5, 2, 1], [12, 11, 10, 7, 15, 6, 3, 2, 1], [12, 4, 6, 8, 15, 9], [10, 8, 6, 15, 7]]"
12,11.769428387925498,126.0,246301.5,303818.1875,"[[10, 13, 14], [12, 4, 2, 5], [5, 2, 1], [12, 11, 10, 7, 15, 6, 3, 2, 1], [12, 4, 6, 8, 15, 9], [10, 8, 6, 15, 7]]"
13,11.769428387925498,126.0,246301.5,278545.5612244898,"[[10, 13, 14], [12, 4, 2, 5], [5, 2, 1], [12, 11, 10, 7, 15, 6, 3, 2, 1], [12, 4, 6, 8, 15, 9], [10, 8, 6, 15, 7]]"
14,11.89980732177264,121.0,243504.0,295254.5,"[[2, 3, 6, 4, 5], [10, 7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [6, 15, 8, 10, 11, 13, 14], [5, 2, 1]]"
15,11.89980732177264,121.0,243504.0,301827.887755102,"[[2, 3, 6, 4, 5], [10, 7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [6, 15, 8, 10, 11, 13, 14], [5, 2, 1]]"
16,11.89980732177264,121.0,243504.0,290712.96,"[[2, 3, 6, 4, 5], [10, 7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [6, 15, 8, 10, 11, 13, 14], [5, 2, 1]]"
17,11.89980732177264,121.0,243504.0,281974.5,"[[2, 3, 6, 4, 5], [10, 7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [6, 15, 8, 10, 11, 13, 14], [5, 2, 1]]"
18,11.89980732177264,121.0,243504.0,290650.756097561,"[[2, 3, 6, 4, 5], [10, 7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [6, 15, 8, 10, 11, 13, 14], [5, 2, 1]]"
19,11.466923570969813,122.0,239313.0,295987.9375,"[[2, 3, 6, 4, 5], [10, 7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [6, 15, 8, 10, 11, 13, 14], [10, 8, 6, 15, 7]]"
20,11.466923570969813,122.0,239313.0,299425.27659574465,"[[2, 3, 6, 4, 5], [10, 7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [6, 15, 8, 10, 11, 13, 14], [10, 8, 6, 15, 7]]"
21,11.466923570969813,122.0,239313.0,324234.488372093,"[[2, 3, 6, 4, 5], [10, 7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [6, 15, 8, 10, 11, 13, 14], [10, 8, 6, 15, 7]]"
22,11.466923570969813,122.0,239313.0,299136.7659574468,"[[2, 3, 6, 4, 5], [10, 7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [6, 15, 8, 10, 11, 13, 14], [10, 8, 6, 15, 7]]"
23,12.0417469492614,108.0,233929.5,308153.45454545453,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
24,12.0417469492614,108.0,233929.5,297207.8048780488,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
25,12.0417469492614,108.0,233929.5,277081.402173913,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
